,2019
Центральный федеральный округ,39482.6
Белгородская область,119.9
Брянская область,2767
Владимирская область,3855
Воронежская область,1716.9
Ивановская область,2548.39
Калужская область,2908.7
Костромская область,4325.8
Курская область,344.5
Липецкая область,472.3
Московская область,123
Орловская область,57.2
Рязанская область,1476
Смоленская область,2823.7
Тамбовская область,919.3
Тверская область,9413.5
Тульская область,50000
Ярославская область,2581.39
Северо-Западный федеральный округ,39172.29
Республика Карелия,7647.6
Республика Коми,2908.39
Архангельская область,4529.5
Архангельская область (кроме Ненецкого автономного округа),4529.5
Вологодская область,7537
Калининградская область,56
Ленинградская область,8998.3
Мурманская область,264.39
Новгородская область,3532.9
Псковская область,3567
Южный федеральный округ (с 2010 года),67
Южный федеральный округ (с 29.07.2016),3677.2
Республика Адыгея (Адыгея),15.3
Республика Калмыкия,8998.3
Республика Крым,2
Краснодарский край,69
Астраханская область,17.3
Волгоградская область,1250
Ростовская область,1300
Город федерального значения Севастополь,9
Северо-Кавказский федеральный округ,498.8
Республика Дагестан,247
Кабардино-Балкарская Республика,44.1
Карачаево-Черкесская Республика,6
Республика Северная Осетия-Алания,58
Чеченская Республика*,72
Ставропольский край,4535
Приволжский федеральный округ,34267.79
Республика Башкортостан,7300
Республика Марий Эл,1420.3
Республика Мордовия,701.09
Республика Татарстан (Татарстан),1796.6
Удмуртская Республика,4701.6
Чувашская Республика - Чувашия,484
Пермский край,3297.4
Кировская область,4662.5
Нижегородская область,5388.7
Оренбургская область,735
Пензенская область,528.79
Самарская область,615.6
Саратовская область,944
Ульяновская область,1692.2
Уральский федеральный округ,13908.29
Курганская область,2023.39
Свердловская область,5710
Тюменская область,3793.6
Ханты-Мансийский автономный округ - Югра (Тюменская область),1218.69
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),2574.89
Челябинская область,2381.3
Сибирский федеральный округ,7676
Сибирский федеральный округ,33223.7
Республика Алтай,250.8
Республика Бурятия,829.8
Республика Тыва,494
Республика Хакасия,1307.8
Алтайский край,3865
Забайкальский край,1442
Красноярский край,7009.2
Иркутская область,15230
Кемеровская область - Кузбасс,1098.5
Новосибирская область,1253.89
Омская область,1029.3
Томская область,1685.19
Дальневосточный федеральный округ,5555
Дальневосточный федеральный округ,12610.09
Республика Саха (Якутия),786
Камчатский край,1354
Приморский край,561
Хабаровский край,5238.39
Амурская область,3421.9
Сахалинская область,712
Еврейская автономная область,405
Чукотский автономный округ,988
Крымский федеральный округ,4543
